age,sex,erhverv,arbtim,height,bmikat,selfemp,bmi30
35,0,1,37,160,1,0,0
22,0,NA,NA,NA,NA,NA,NA
57,0,NA,NA,NA,NA,NA,NA
58,0,1,31,160,4,0,1
44,0,1,32,175,2,0,0
30,1,3,85,184,2,1,0
59,0,1,50,172,3,0,0
34,0,1,50,179,2,0,0
31,1,1,39,182,3,0,0
43,1,NA,NA,NA,NA,NA,NA
45,1,NA,NA,NA,NA,NA,NA
28,1,1,50,184,3,0,0
55,1,1,34,186,2,0,0
55,1,1,43,173,3,0,0
54,0,1,40,164,3,0,0
52,0,2,18,160,3,0,0
43,0,1,45,168,2,0,0
37,1,NA,NA,NA,NA,NA,NA
54,0,NA,NA,NA,NA,NA,NA
56,0,1,2,163,1,0,0
30,1,1,45,182,3,0,0
36,1,3,55,185,3,1,0
27,1,NA,NA,NA,NA,NA,NA
43,0,3,45,173,3,1,0
37,0,1,37,170,2,0,0
59,1,NA,NA,NA,NA,NA,NA
48,0,NA,NA,NA,NA,NA,NA
23,1,1,37,173,2,0,0
56,0,1,37,168,2,0,0
42,0,1,38,170,2,0,0
57,0,NA,NA,NA,NA,NA,NA
58,0,1,37,160,3,0,0
55,1,1,47,182,2,0,0
59,1,1,37,176,3,0,0
58,1,1,40,179,3,0,0
43,0,3,45,167,2,1,0
44,1,1,40,180,4,0,1
32,1,1,45,180,2,0,0
57,0,1,37,154,4,0,1
28,1,NA,NA,NA,NA,NA,NA
49,1,1,37,200,4,0,1
38,0,3,40,173,2,1,0
35,1,NA,NA,NA,NA,NA,NA
45,0,1,58,169,3,0,0
27,0,9,50,156,2,0,0
58,1,NA,NA,NA,NA,NA,NA
49,1,3,60,186,2,1,0
26,0,1,30,167,2,0,0
50,0,2,27,168,2,0,0
35,1,1,45,183,2,0,0
37,0,NA,NA,NA,NA,NA,NA
48,0,2,20,168,3,0,0
33,0,1,999,175,2,0,0
29,0,6,37,165,3,0,0
64,0,NA,NA,NA,NA,NA,NA
54,0,NA,NA,NA,NA,NA,NA
33,0,1,40,176,3,0,0
52,0,NA,NA,NA,NA,NA,NA
45,1,3,55,176,3,1,0
45,1,1,45,186,3,0,0
38,0,1,37,168,3,0,0
54,0,2,20,172,2,0,0
45,0,1,55,172,2,0,0
55,0,1,33,167,2,0,0
22,0,1,34,168,3,0,0
60,0,1,37,167,2,0,0
27,1,1,60,177,2,0,0
62,1,NA,NA,NA,NA,NA,NA
63,0,9,0,178,3,0,0
36,0,1,37,178,3,0,0
37,1,NA,NA,NA,NA,NA,NA
31,1,1,37,178,2,0,0
53,1,1,37,175,2,0,0
64,1,NA,NA,NA,NA,NA,NA
26,0,1,45,175,4,0,1
52,0,1,37,160,4,0,1
30,0,1,37,178,3,0,0
50,0,NA,NA,NA,NA,NA,NA
45,1,NA,NA,NA,NA,NA,NA
50,0,1,37,168,2,0,0
49,1,1,40,180,2,0,0
41,1,1,40,176,3,0,0
19,1,NA,NA,NA,NA,NA,NA
34,0,1,37,170,2,0,0
40,0,2,25,175,3,0,0
59,0,1,37,173,4,0,1
51,0,1,39,175,3,0,0
44,0,1,38,174,3,0,0
50,1,1,37,999,NA,0,NA
32,1,1,35,175,3,0,0
25,1,1,37,171,4,0,1
60,0,NA,NA,NA,NA,NA,NA
56,1,3,50,177,3,1,0
51,0,9,12,169,3,0,0
28,0,1,38,173,3,0,0
50,0,1,40,176,2,0,0
39,1,1,60,182,3,0,0
32,0,1,50,186,2,0,0
46,1,NA,NA,NA,NA,NA,NA
39,0,NA,NA,NA,NA,NA,NA
56,0,1,37,161,4,0,1
39,1,NA,NA,NA,NA,NA,NA
29,1,1,37,184,4,0,1
47,1,1,37,185,4,0,1
47,1,1,60,190,4,0,1
42,0,1,37,167,2,0,0
45,0,4,20,173,2,1,0
19,1,9,9,999,NA,0,NA
36,1,NA,NA,NA,NA,NA,NA
59,1,1,40,999,NA,0,NA
34,0,1,37,170,2,0,0
54,0,1,40,158,2,0,0
48,1,1,40,180,3,0,0
45,1,NA,NA,NA,NA,NA,NA
53,1,NA,NA,NA,NA,NA,NA
33,0,1,33,168,1,0,0
44,1,1,50,176,4,0,1
60,1,NA,NA,NA,NA,NA,NA
43,0,1,42,170,2,0,0
37,0,1,37,172,2,0,0
54,0,1,40,167,2,0,0
49,1,3,70,192,3,1,0
32,0,1,37,179,2,0,0
52,0,6,39,169,3,0,0
55,1,1,42,179,2,0,0
54,1,1,42,178,2,0,0
51,1,NA,NA,NA,NA,NA,NA
47,1,NA,NA,NA,NA,NA,NA
63,1,3,40,184,3,1,0
39,1,NA,NA,NA,NA,NA,NA
21,0,1,38,171,3,0,0
45,0,2,22,164,2,0,0
53,1,1,40,183,3,0,0
51,0,NA,NA,NA,NA,NA,NA
58,1,1,37,180,1,0,0
58,0,NA,NA,NA,NA,NA,NA
44,0,1,37,169,2,0,0
50,1,1,41,178,2,0,0
20,0,1,37,172,2,0,0
30,0,1,32,163,2,0,0
56,1,1,45,170,3,0,0
52,0,1,50,169,3,0,0
30,0,NA,NA,NA,NA,NA,NA
20,0,NA,NA,NA,NA,NA,NA
56,0,3,60,168,2,1,0
33,1,1,37,170,3,0,0
50,0,1,38,160,4,0,1
56,0,NA,NA,NA,NA,NA,NA
44,0,1,40,999,NA,0,NA
52,1,3,40,167,2,1,0
27,0,NA,NA,NA,NA,NA,NA
41,0,1,42,171,1,0,0
46,1,1,37,999,NA,0,NA
51,1,1,38,180,2,0,0
51,0,1,37,168,4,0,1
28,0,1,45,170,1,0,0
49,0,1,40,165,2,0,0
30,1,1,37,184,3,0,0
19,1,NA,NA,NA,NA,NA,NA
39,0,1,40,172,2,0,0
45,0,NA,NA,NA,NA,NA,NA
40,1,1,37,185,4,0,1
40,1,1,41,186,3,0,0
55,1,NA,NA,NA,NA,NA,NA
28,0,1,40,169,2,0,0
56,1,1,37,186,3,0,0
19,0,9,12,173,2,0,0
31,0,1,37,168,2,0,0
51,0,1,36,167,3,0,0
39,1,1,50,182,2,0,0
53,1,1,39,182,3,0,0
21,1,NA,NA,NA,NA,NA,NA
45,0,2,22,160,4,0,1
58,0,NA,NA,NA,NA,NA,NA
58,0,NA,NA,NA,NA,NA,NA
57,0,1,37,170,4,0,1
43,1,NA,NA,NA,NA,NA,NA
29,0,NA,NA,NA,NA,NA,NA
19,0,9,57,178,1,0,0
61,1,NA,NA,NA,NA,NA,NA
33,0,1,35,174,2,0,0
34,1,1,50,176,3,0,0
28,1,1,42,184,3,0,0
33,0,NA,NA,NA,NA,NA,NA
23,1,1,60,190,3,0,0
34,1,NA,NA,NA,NA,NA,NA
35,1,1,37,183,2,0,0
23,1,NA,NA,NA,NA,NA,NA
57,0,1,37,174,2,0,0
49,0,1,35,162,2,0,0
59,0,2,20,178,1,0,0
40,1,NA,NA,NA,NA,NA,NA
32,1,1,41,185,4,0,1
64,1,1,50,170,3,0,0
45,0,1,40,170,2,0,0
43,1,1,37,178,3,0,0
48,0,1,35,180,2,0,0
43,0,1,40,171,2,0,0
42,1,1,37,175,3,0,0
59,0,NA,NA,NA,NA,NA,NA
44,0,1,32,168,3,0,0
29,1,3,45,183,2,1,0
54,0,NA,NA,NA,NA,NA,NA
46,0,1,42,165,2,0,0
59,0,1,37,163,3,0,0
42,1,1,37,179,3,0,0
40,0,NA,NA,NA,NA,NA,NA
44,0,NA,NA,NA,NA,NA,NA
48,0,3,40,168,2,1,0
55,1,2,25,180,3,0,0
52,0,1,40,157,2,0,0
47,0,1,40,168,2,0,0
52,1,NA,NA,NA,NA,NA,NA
42,0,NA,NA,NA,NA,NA,NA
43,1,1,40,188,2,0,0
55,0,NA,NA,NA,NA,NA,NA
61,1,1,40,177,2,0,0
47,0,1,30,173,3,0,0
41,1,NA,NA,NA,NA,NA,NA
44,0,1,37,165,2,0,0
50,0,1,37,163,2,0,0
55,0,1,36,169,2,0,0
41,0,2,29,167,2,0,0
52,0,1,40,999,NA,0,NA
24,1,NA,NA,NA,NA,NA,NA
43,0,1,37,156,2,0,0
57,0,1,40,164,2,0,0
37,0,1,37,168,1,0,0
56,0,1,37,158,3,0,0
25,1,NA,NA,NA,NA,NA,NA
20,0,9,999,177,1,0,0
35,1,1,38,170,2,0,0
26,0,1,42,167,2,0,0
36,1,NA,NA,NA,NA,NA,NA
22,0,1,42,168,2,0,0
44,1,3,50,180,2,1,0
39,1,NA,NA,NA,NA,NA,NA
36,0,NA,NA,NA,NA,NA,NA
34,0,1,32,173,3,0,0
56,0,1,30,172,2,0,0
50,1,3,60,175,2,1,0
51,1,NA,NA,NA,NA,NA,NA
56,0,NA,NA,NA,NA,NA,NA
53,1,1,42,165,3,0,0
58,1,NA,NA,NA,NA,NA,NA
47,0,9,37,165,3,0,0
59,0,NA,NA,NA,NA,NA,NA
57,0,1,45,171,3,0,0
23,0,1,30,148,2,0,0
36,1,1,40,183,3,0,0
34,0,8,50,178,2,0,0
61,1,1,55,182,4,0,1
40,1,NA,NA,NA,NA,NA,NA
39,1,1,45,190,4,0,1
54,0,1,30,160,2,0,0
61,1,1,40,187,3,0,0
54,1,1,38,172,2,0,0
35,1,1,46,194,4,0,1
35,0,8,50,164,3,0,0
49,0,2,30,172,3,0,0
39,1,1,37,183,2,0,0
53,1,NA,NA,NA,NA,NA,NA
43,1,NA,NA,NA,NA,NA,NA
30,0,1,40,168,2,0,0
30,0,9,37,999,NA,0,NA
58,0,1,15,163,4,0,1
24,1,NA,NA,NA,NA,NA,NA
47,0,1,41,158,2,0,0
52,0,1,37,163,3,0,0
49,0,1,37,178,2,0,0
33,0,2,29,999,NA,0,NA
35,1,1,40,999,NA,0,NA
36,1,1,37,188,3,0,0
40,0,NA,NA,NA,NA,NA,NA
33,1,1,40,180,2,0,0
47,0,2,10,178,2,0,0
57,1,1,40,171,3,0,0
29,1,3,50,193,3,1,0
54,1,1,45,180,3,0,0
57,1,NA,NA,NA,NA,NA,NA
50,0,1,32,171,2,0,0
58,0,1,34,168,2,0,0
52,0,2,29,162,2,0,0
41,0,NA,NA,NA,NA,NA,NA
30,1,1,38,172,3,0,0
49,0,1,38,168,2,0,0
40,1,NA,NA,NA,NA,NA,NA
35,1,1,40,178,3,0,0
55,1,1,40,173,2,0,0
42,0,NA,NA,NA,NA,NA,NA
20,1,6,40,180,2,0,0
49,1,1,37,183,2,0,0
42,0,1,35,160,2,0,0
37,0,1,40,172,3,0,0
35,1,1,55,180,2,0,0
24,1,1,37,173,4,0,1
49,0,NA,NA,NA,NA,NA,NA
60,1,1,45,196,3,0,0
57,1,1,40,190,2,0,0
59,0,2,29,168,2,0,0
25,1,NA,NA,NA,NA,NA,NA
25,1,1,41,175,2,0,0
49,1,1,37,186,3,0,0
23,1,1,40,189,2,0,0
52,0,1,48,173,2,0,0
40,1,1,56,999,NA,0,NA
49,0,1,48,164,1,0,0
39,1,1,37,184,3,0,0
50,0,1,39,168,2,0,0
52,1,NA,NA,NA,NA,NA,NA
61,1,1,37,180,4,0,1
22,0,NA,NA,NA,NA,NA,NA
58,1,NA,NA,NA,NA,NA,NA
40,0,NA,NA,NA,NA,NA,NA
59,0,2,25,167,4,0,1
43,0,1,38,156,4,0,1
28,1,3,45,180,3,1,0
37,0,1,34,182,2,0,0
44,1,1,45,180,2,0,0
31,1,1,44,180,2,0,0
37,0,2,31,174,3,0,0
42,0,NA,NA,NA,NA,NA,NA
38,1,1,37,180,3,0,0
62,0,NA,NA,NA,NA,NA,NA
50,1,2,20,176,3,0,0
24,1,NA,NA,NA,NA,NA,NA
62,1,NA,NA,NA,NA,NA,NA
60,1,NA,NA,NA,NA,NA,NA
57,1,1,45,173,3,0,0
42,1,1,48,185,2,0,0
49,0,1,35,168,2,0,0
28,1,NA,NA,NA,NA,NA,NA
36,0,1,32,169,2,0,0
36,1,NA,NA,NA,NA,NA,NA
49,0,1,39,173,3,0,0
53,1,NA,NA,NA,NA,NA,NA
35,1,NA,NA,NA,NA,NA,NA
42,1,4,29,203,3,1,0
22,1,NA,NA,NA,NA,NA,NA
22,1,NA,NA,NA,NA,NA,NA
60,0,NA,NA,NA,NA,NA,NA
56,1,1,40,179,3,0,0
51,1,NA,NA,NA,NA,NA,NA
19,0,9,999,169,4,0,1
49,1,1,48,999,NA,0,NA
53,1,1,37,184,2,0,0
57,1,NA,NA,NA,NA,NA,NA
20,0,2,25,172,2,0,0
61,1,1,37,182,4,0,1
48,1,2,50,184,2,0,0
23,1,1,42,182,2,0,0
64,1,NA,NA,NA,NA,NA,NA
51,1,1,37,189,2,0,0
57,1,1,45,180,2,0,0
50,0,1,37,171,2,0,0
37,0,1,35,164,2,0,0
28,0,6,37,162,2,0,0
26,1,1,40,184,2,0,0
60,0,1,37,170,2,0,0
38,1,NA,NA,NA,NA,NA,NA
44,1,1,37,174,2,0,0
45,1,1,35,188,3,0,0
50,0,1,40,162,2,0,0
37,1,1,41,183,3,0,0
22,1,1,60,188,3,0,0
19,1,NA,NA,NA,NA,NA,NA
35,1,NA,NA,NA,NA,NA,NA
62,1,1,37,168,4,0,1
43,1,NA,NA,NA,NA,NA,NA
61,1,1,40,168,2,0,0
44,0,2,15,171,4,0,1
25,1,NA,NA,NA,NA,NA,NA
56,0,NA,NA,NA,NA,NA,NA
48,1,NA,NA,NA,NA,NA,NA
60,1,NA,NA,NA,NA,NA,NA
43,0,1,40,172,2,0,0
38,0,NA,NA,NA,NA,NA,NA
23,0,1,40,169,2,0,0
58,0,1,37,165,2,0,0
60,0,1,33,165,2,0,0
41,0,1,37,170,2,0,0
56,0,2,20,160,3,0,0
48,0,1,32,167,3,0,0
31,0,1,50,170,2,0,0
36,1,1,37,184,3,0,0
63,0,NA,NA,NA,NA,NA,NA
35,1,1,40,185,2,0,0
21,1,NA,NA,NA,NA,NA,NA
30,0,2,34,160,1,0,0
24,0,1,80,178,3,0,0
27,1,NA,NA,NA,NA,NA,NA
55,0,1,37,163,3,0,0
46,0,NA,NA,NA,NA,NA,NA
45,0,1,50,164,1,0,0
41,1,1,42,187,4,0,1
61,0,NA,NA,NA,NA,NA,NA
52,0,1,40,170,4,0,1
33,1,NA,NA,NA,NA,NA,NA
51,1,1,37,186,3,0,0
58,0,1,32,164,3,0,0
21,1,9,40,199,2,0,0
48,1,NA,NA,NA,NA,NA,NA
62,0,NA,NA,NA,NA,NA,NA
44,0,NA,NA,NA,NA,NA,NA
20,0,NA,NA,NA,NA,NA,NA
51,1,1,39,185,3,0,0
32,1,NA,NA,NA,NA,NA,NA
39,0,1,39,156,4,0,1
34,1,1,45,182,1,0,0
45,1,1,37,187,2,0,0
62,0,NA,NA,NA,NA,NA,NA
28,0,NA,NA,NA,NA,NA,NA
54,0,1,37,158,2,0,0
31,1,NA,NA,NA,NA,NA,NA
28,1,1,43,185,3,0,0
43,1,1,40,179,2,0,0
50,0,1,33,160,3,0,0
30,0,NA,NA,NA,NA,NA,NA
31,1,1,37,168,2,0,0
38,0,NA,NA,NA,NA,NA,NA
37,0,1,33,999,NA,0,NA
41,0,1,37,167,2,0,0
59,0,1,40,168,3,0,0
27,1,NA,NA,NA,NA,NA,NA
34,1,1,37,190,2,0,0
55,0,NA,NA,NA,NA,NA,NA
55,1,1,37,172,3,0,0
28,0,1,35,175,3,0,0
56,0,1,50,164,3,0,0
36,0,1,37,172,1,0,0
55,1,NA,NA,NA,NA,NA,NA
43,1,NA,NA,NA,NA,NA,NA
52,0,1,60,169,4,0,1
38,1,NA,NA,NA,NA,NA,NA
33,1,1,45,183,2,0,0
43,0,1,41,171,2,0,0
34,0,1,45,167,2,0,0
54,1,1,37,190,2,0,0
58,0,1,43,160,2,0,0
53,0,1,35,150,3,0,0
63,1,1,38,182,3,0,0
48,0,2,28,168,1,0,0
23,0,1,30,163,3,0,0
47,1,1,37,184,2,0,0
37,0,1,32,164,2,0,0
41,0,2,28,167,1,0,0
54,0,1,45,167,3,0,0
46,0,NA,NA,NA,NA,NA,NA
32,0,1,20,163,3,0,0
58,0,1,37,168,2,0,0
55,1,NA,NA,NA,NA,NA,NA
45,0,1,40,178,1,0,0
38,0,NA,NA,NA,NA,NA,NA
50,1,3,45,191,2,1,0
32,1,NA,NA,NA,NA,NA,NA
59,1,1,42,173,2,0,0
53,1,NA,NA,NA,NA,NA,NA
56,0,1,40,171,2,0,0
26,1,1,63,184,3,0,0
34,1,1,40,193,1,0,0
56,1,1,42,183,3,0,0
43,0,1,32,165,2,0,0
35,1,NA,NA,NA,NA,NA,NA
33,1,NA,NA,NA,NA,NA,NA
30,0,1,45,170,1,0,0
34,1,1,45,188,2,0,0
51,1,NA,NA,NA,NA,NA,NA
45,0,NA,NA,NA,NA,NA,NA
20,1,2,15,194,2,0,0
24,1,NA,NA,NA,NA,NA,NA
33,1,1,37,181,2,0,0
21,0,1,37,157,2,0,0
59,1,1,41,172,3,0,0
57,0,2,21,167,3,0,0
29,1,NA,NA,NA,NA,NA,NA
44,1,NA,NA,NA,NA,NA,NA
50,0,1,37,163,2,0,0
43,0,9,37,162,4,0,1
50,1,1,41,178,3,0,0
39,0,2,28,150,2,0,0
39,0,1,48,172,1,0,0
50,0,1,40,165,2,0,0
44,0,NA,NA,NA,NA,NA,NA
38,0,NA,NA,NA,NA,NA,NA
58,1,NA,NA,NA,NA,NA,NA
30,1,NA,NA,NA,NA,NA,NA
39,1,1,42,172,2,0,0
62,0,3,32,172,2,1,0
28,1,1,40,999,NA,0,NA
60,0,1,32,160,3,0,0
56,0,NA,NA,NA,NA,NA,NA
51,0,1,37,164,2,0,0
57,0,1,37,164,3,0,0
61,1,1,37,182,3,0,0
23,1,NA,NA,NA,NA,NA,NA
50,1,1,37,187,3,0,0
41,1,1,37,183,4,0,1
25,1,1,50,190,3,0,0
52,0,1,37,172,2,0,0
42,1,NA,NA,NA,NA,NA,NA
