cntry,news,polintr,vote,age,gndr,eduyrs,edutype,pdwrk,hincfel,pstplonl,contplt,netusoft,netustm,trstplt,trstprt,cptppola
SE,60,2,1,62,Female,12,Gymnasial uddannelse,1,1,2,1,5,240,4,4,2
SE,30,3,1,34,Female,18,Universitetsuddannelse,0,2,2,2,5,540,4,4,2
SE,5,4,1,41,Female,16,Gymnasial uddannelse,0,3,2,2,5,780,2,4,1
SE,90,2,1,38,Male,12,Gymnasial uddannelse,1,2,1,1,5,480,3,3,4
SE,45,3,1,65,Female,18,Universitetsuddannelse,1,1,2,2,5,120,7,7,2
SE,5,3,1,28,Female,12,Gymnasial uddannelse,0,3,2,2,5,180,4,2,4
SE,120,2,1,86,Female,9,Videregående uddannelse,0,2,2,1,3,NA,NA,5,2
SE,60,1,1,65,Female,12,Gymnasial uddannelse,1,1,2,1,5,510,6,6,5
SE,60,2,1,69,Female,15,Videregående uddannelse,0,1,2,2,5,45,1,3,3
SE,90,3,1,58,Female,12,Videregående uddannelse,1,1,2,2,5,30,5,6,3
SE,30,2,1,66,Male,12,Gymnasial uddannelse,0,2,2,2,5,90,4,4,4
SE,60,2,1,66,Female,13,Gymnasial uddannelse,1,1,2,2,5,600,3,0,2
SE,30,3,1,27,Female,15,Gymnasial uddannelse,1,1,2,2,5,300,5,5,3
SE,15,2,1,72,Male,11,Gymnasial uddannelse,0,2,2,2,5,60,5,8,2
SE,60,2,1,71,Male,20,Universitetsuddannelse,0,1,2,2,5,120,7,6,3
SE,15,1,1,21,Male,13,Gymnasial uddannelse,0,2,2,2,5,300,7,7,4
SE,30,2,1,35,Male,16,Universitetsuddannelse,0,4,1,2,5,300,2,4,3
SE,60,1,1,73,Female,15,Videregående uddannelse,0,1,2,2,5,420,3,2,3
SE,60,1,1,54,Male,12,Gymnasial uddannelse,0,1,2,1,5,180,4,4,4
SE,60,1,1,77,Female,19,Universitetsuddannelse,0,1,2,2,5,150,5,5,3
SE,30,3,1,20,Male,12,Gymnasial uddannelse,0,2,1,2,5,300,1,3,2
SE,30,1,1,37,Male,17,Universitetsuddannelse,1,1,2,1,5,600,8,8,3
SE,0,4,2,44,Female,18,Videregående uddannelse,1,1,2,2,3,NA,4,4,3
SE,30,1,1,40,Female,17,Universitetsuddannelse,0,1,2,2,5,540,3,8,4
SE,NA,1,1,51,Female,16,Universitetsuddannelse,1,1,1,2,5,600,7,6,3
SE,150,3,1,82,Female,9,Grundskole,0,1,2,2,1,NA,3,2,1
SE,45,1,1,63,Female,17,Universitetsuddannelse,1,1,2,1,5,300,7,6,4
SE,240,1,1,85,Female,13,Universitetsuddannelse,0,1,2,2,5,480,4,4,4
SE,60,1,1,50,Male,18,Universitetsuddannelse,1,1,1,1,5,480,7,7,5
SE,20,2,1,31,Female,13,Gymnasial uddannelse,0,2,2,2,5,120,3,3,3
SE,30,2,1,35,Female,16,Universitetsuddannelse,1,1,1,2,5,480,6,6,3
SE,60,1,1,48,Male,14,Videregående uddannelse,0,4,2,2,5,300,5,5,5
SE,60,2,1,33,Female,14,Videregående uddannelse,1,1,1,2,5,270,3,1,3
SE,60,2,1,43,Female,15,Universitetsuddannelse,1,1,2,2,5,300,3,3,2
SE,60,3,1,45,Female,16,Universitetsuddannelse,1,2,2,2,5,420,6,6,3
SE,90,1,1,64,Male,14,Videregående uddannelse,0,2,1,2,5,180,5,5,2
SE,180,1,1,77,Male,12,Gymnasial uddannelse,0,2,2,1,3,NA,7,7,4
SE,15,1,1,26,Female,18,Gymnasial uddannelse,0,2,1,1,5,120,3,3,2
SE,5,2,1,46,Female,14,Videregående uddannelse,1,1,2,2,5,60,7,7,2
SE,15,2,1,46,Male,16,Universitetsuddannelse,1,2,2,2,5,120,3,3,2
SE,20,3,2,21,Male,12,Videregående uddannelse,0,2,2,2,5,600,4,4,3
SE,60,1,1,65,Male,10,Grundskole,0,1,1,2,5,180,8,7,3
SE,5,3,1,43,Female,17,Universitetsuddannelse,1,1,2,2,5,240,7,8,2
SE,NA,1,1,58,Female,14,Videregående uddannelse,1,1,1,1,5,600,9,7,5
SE,10,3,1,44,Female,19,Videregående uddannelse,1,1,2,2,4,30,7,7,3
SE,30,2,1,54,Female,15,Universitetsuddannelse,1,1,2,1,5,300,6,6,3
SE,30,2,1,33,Male,17,Universitetsuddannelse,1,1,2,2,5,150,4,5,4
SE,60,3,2,69,Male,16,Universitetsuddannelse,0,1,2,2,5,60,6,6,2
SE,NA,2,1,64,Male,9,Grundskole,0,2,2,2,1,NA,4,4,3
SE,60,3,1,56,Male,11,Gymnasial uddannelse,1,1,2,2,5,540,6,6,2
SE,240,2,1,70,Female,14,Videregående uddannelse,0,2,2,2,5,480,5,5,2
SE,60,3,1,80,Female,19,Universitetsuddannelse,0,1,2,2,5,180,0,3,3
SE,30,3,1,71,Male,10,Grundskole,0,1,2,2,5,120,5,6,2
SE,0,3,1,40,Male,10,Gymnasial uddannelse,1,2,1,2,5,60,7,7,2
SE,50,3,1,36,Female,17,Universitetsuddannelse,1,1,1,1,5,NA,0,0,3
SE,60,2,1,42,Female,17,Universitetsuddannelse,1,1,NA,2,5,510,7,6,3
SE,60,2,1,86,Female,9,Grundskole,0,2,2,2,3,NA,0,0,1
SE,30,2,1,44,Male,17,Universitetsuddannelse,1,1,1,1,5,600,7,7,3
SE,15,4,1,38,Female,17,Videregående uddannelse,1,2,2,2,5,360,4,5,2
SE,30,3,1,79,Male,16,Universitetsuddannelse,0,1,2,2,2,NA,3,3,1
SE,60,1,1,68,Male,11,Grundskole,0,4,2,2,5,300,2,NA,3
SE,60,2,1,58,Male,11,Gymnasial uddannelse,1,1,1,2,5,60,3,3,2
SE,60,3,1,57,Male,11,Gymnasial uddannelse,1,1,2,2,5,120,7,7,2
SE,120,1,1,64,Female,NA,Universitetsuddannelse,1,1,2,1,5,180,7,7,3
SE,180,1,1,80,Male,14,Gymnasial uddannelse,0,2,2,1,5,60,0,0,4
SE,NA,1,1,75,Female,19,Videregående uddannelse,0,1,2,2,5,150,6,6,2
SE,60,1,1,64,Female,13,Videregående uddannelse,1,1,1,2,4,20,9,9,4
SE,30,1,1,50,Male,16,Universitetsuddannelse,1,1,1,2,5,720,7,7,4
SE,60,2,1,65,Female,19,Universitetsuddannelse,1,1,2,2,5,240,5,5,3
SE,120,1,1,80,Male,19,Universitetsuddannelse,1,1,2,1,5,120,3,4,3
SE,60,3,1,60,Male,13,Gymnasial uddannelse,1,1,2,2,5,180,7,6,1
SE,240,1,1,75,Male,15,Gymnasial uddannelse,0,1,2,2,5,210,6,6,3
SE,180,2,1,69,Female,11,Gymnasial uddannelse,0,1,2,2,5,120,7,6,3
SE,120,3,1,74,Female,12,Grundskole,0,1,2,2,5,105,5,5,1
SE,120,2,1,76,Male,NA,Universitetsuddannelse,0,1,2,1,3,NA,1,5,4
SE,120,1,1,79,Male,16,Universitetsuddannelse,0,1,1,2,5,90,7,7,4
SE,60,2,1,65,Female,17,Universitetsuddannelse,0,1,2,2,5,105,4,5,4
SE,30,1,1,46,Male,17,Universitetsuddannelse,1,1,2,1,5,60,5,7,3
SE,15,3,1,49,Female,21,Universitetsuddannelse,1,2,1,1,5,240,NA,NA,2
SE,30,3,1,48,Female,17,Universitetsuddannelse,1,1,2,2,5,300,7,6,4
SE,60,1,1,26,Female,12,Gymnasial uddannelse,1,1,2,2,5,660,6,5,4
SE,180,1,1,65,Female,11,Gymnasial uddannelse,1,1,1,2,5,480,1,1,3
SE,NA,3,1,44,Male,20,Gymnasial uddannelse,0,2,2,2,5,180,3,2,3
SE,60,2,1,80,Female,13,Videregående uddannelse,0,1,2,1,5,30,7,5,3
SE,60,2,1,71,Female,11,Gymnasial uddannelse,1,2,2,2,5,90,5,5,2
SE,30,2,1,46,Male,16,Universitetsuddannelse,1,2,2,2,5,240,7,7,3
SE,90,2,1,57,Female,19,Universitetsuddannelse,1,1,2,2,5,120,7,6,3
SE,60,3,1,55,Male,11,Gymnasial uddannelse,1,1,2,2,5,120,8,8,3
SE,0,2,1,30,Female,17,Universitetsuddannelse,0,1,1,2,5,360,7,7,3
SE,90,1,1,65,Male,12,Gymnasial uddannelse,1,2,2,2,5,180,1,1,5
SE,20,3,1,46,Female,16,Universitetsuddannelse,1,2,2,2,5,600,6,6,4
SE,120,2,1,90,Female,15,Universitetsuddannelse,0,1,2,2,2,NA,4,5,3
SE,180,3,1,76,Female,13,Videregående uddannelse,0,2,2,2,4,60,3,3,1
SE,40,2,1,20,Male,9,Grundskole,1,3,1,1,5,292,1,1,2
SE,20,1,1,40,Male,19,Universitetsuddannelse,1,1,1,1,5,120,7,7,4
SE,90,2,1,38,Female,18,Universitetsuddannelse,1,1,1,2,5,360,5,5,3
SE,30,2,1,48,Female,13,Videregående uddannelse,1,1,1,2,5,600,3,3,3
SE,30,2,1,65,Male,10,Videregående uddannelse,0,1,2,2,5,60,6,7,3
SE,5,4,1,30,Male,12,Gymnasial uddannelse,1,1,2,1,5,240,2,4,1
SE,30,3,1,59,Male,11,Gymnasial uddannelse,1,1,2,2,5,180,3,3,3
SE,60,2,1,79,Male,8,Grundskole,0,2,2,2,5,120,4,3,3
SE,80,2,1,74,Female,13,Gymnasial uddannelse,0,1,2,2,5,150,4,6,3
SE,30,2,1,60,Male,12,Gymnasial uddannelse,1,2,2,2,5,30,5,5,2
SE,120,1,1,58,Male,12,Gymnasial uddannelse,1,1,2,2,5,600,7,8,1
SE,120,2,1,68,Female,19,Universitetsuddannelse,0,1,1,2,5,360,4,2,3
SE,60,1,1,43,Male,18,Universitetsuddannelse,1,1,2,2,5,240,8,8,4
SE,30,2,1,36,Female,12,Gymnasial uddannelse,0,1,2,2,5,480,5,5,1
SE,30,2,1,26,Female,12,Videregående uddannelse,1,2,1,2,5,480,4,5,4
SE,30,3,1,71,Male,10,Grundskole,0,2,2,2,3,NA,3,3,1
SE,120,2,1,56,Female,18,Universitetsuddannelse,1,1,2,2,5,180,5,6,4
SE,120,2,1,46,Female,18,Universitetsuddannelse,1,1,2,2,5,360,4,2,3
SE,45,2,1,59,Male,12,Videregående uddannelse,1,4,2,2,5,120,5,6,4
SE,60,1,1,68,Female,15,Videregående uddannelse,0,1,2,2,5,330,6,6,1
SE,120,3,1,30,Male,15,Videregående uddannelse,0,1,2,2,5,360,6,6,2
SE,150,1,1,85,Male,17,Videregående uddannelse,0,1,1,1,5,210,6,8,2
SE,15,4,2,66,Male,17,Gymnasial uddannelse,1,1,2,2,5,840,1,2,1
SE,10,3,2,20,Male,12,Gymnasial uddannelse,1,4,2,2,1,NA,5,7,3
SE,30,2,1,44,Female,17,Universitetsuddannelse,1,1,2,2,5,600,6,7,3
SE,20,3,1,44,Male,12,Gymnasial uddannelse,1,1,2,2,5,90,7,7,1
SE,60,1,1,35,Male,12,Gymnasial uddannelse,1,2,2,2,5,NA,2,5,4
SE,15,2,1,34,Female,15,Universitetsuddannelse,0,1,2,2,5,180,6,7,4
SE,30,2,1,61,Male,11,Gymnasial uddannelse,1,2,2,2,5,60,1,1,2
SE,60,1,1,53,Male,15,Videregående uddannelse,1,1,1,2,5,840,4,2,2
SE,10,3,1,56,Female,15,Gymnasial uddannelse,1,1,2,2,5,45,7,9,5
SE,60,3,1,91,Male,9,Grundskole,0,2,2,2,1,NA,7,7,3
SE,120,2,1,66,Female,15,Universitetsuddannelse,0,1,2,2,5,120,6,6,3
SE,150,1,1,76,Female,11,Videregående uddannelse,0,1,2,2,5,90,6,6,4
SE,30,3,1,76,Male,14,Universitetsuddannelse,0,1,2,1,5,30,2,2,3
SE,60,2,1,38,Female,19,Universitetsuddannelse,0,1,2,2,5,90,6,7,3
SE,120,2,1,70,Male,13,Gymnasial uddannelse,0,1,2,1,5,120,5,5,2
SE,30,3,1,45,Male,12,Videregående uddannelse,1,2,2,2,5,180,4,4,2
SE,30,1,1,45,Female,18,Universitetsuddannelse,1,1,2,2,5,720,6,6,4
SE,10,2,1,44,Male,13,Gymnasial uddannelse,1,1,2,2,5,240,8,8,4
SE,20,2,1,44,Male,17,Universitetsuddannelse,1,2,1,2,5,780,6,5,4
SE,10,3,1,33,Female,12,Gymnasial uddannelse,0,2,1,2,5,120,8,8,2
SE,45,2,1,42,Male,17,Universitetsuddannelse,1,1,2,2,5,480,7,8,4
SE,15,2,1,42,Female,16,Universitetsuddannelse,1,3,1,2,5,300,7,7,3
SE,30,2,1,40,Male,13,Gymnasial uddannelse,1,2,1,2,5,480,6,5,2
SE,120,2,1,85,Female,14,Videregående uddannelse,0,1,2,2,5,180,4,2,1
SE,10,4,1,33,Male,12,Gymnasial uddannelse,1,1,2,2,5,720,6,6,3
SE,20,1,1,20,Male,11,Grundskole,0,1,1,2,5,480,0,2,4
SE,120,1,1,68,Male,11,Gymnasial uddannelse,0,3,1,2,4,30,7,6,5
SE,120,1,1,61,Female,17,Videregående uddannelse,1,1,1,1,5,420,9,8,4
SE,NA,1,1,88,Male,16,Videregående uddannelse,0,1,2,2,5,240,3,3,3
SE,40,3,1,25,Female,17,Universitetsuddannelse,1,2,2,2,5,720,5,5,3
SE,60,3,1,59,Female,12,Videregående uddannelse,1,1,2,1,5,480,7,7,3
SE,60,1,1,41,Male,12,Gymnasial uddannelse,1,1,2,2,5,240,5,5,3
SE,15,2,1,40,Female,13,Gymnasial uddannelse,1,2,2,2,5,480,4,9,2
SE,30,1,1,58,Male,14,Videregående uddannelse,1,4,2,2,5,540,5,6,5
SE,60,3,1,36,Female,17,Universitetsuddannelse,1,1,2,2,5,180,5,5,2
SE,60,2,1,62,Female,16,Videregående uddannelse,1,1,2,1,5,510,8,8,4
SE,120,2,1,33,Male,21,Universitetsuddannelse,1,2,2,2,5,720,7,9,4
SE,120,2,1,57,Female,13,Gymnasial uddannelse,1,1,2,2,5,120,6,6,3
SE,90,2,1,72,Male,10,Grundskole,1,1,2,2,5,60,3,4,3
SE,30,3,1,60,Male,9,Grundskole,1,1,2,2,5,120,5,5,2
SE,NA,2,1,77,Female,10,Grundskole,0,3,1,1,5,240,5,5,3
SE,55,2,1,62,Male,12,Gymnasial uddannelse,1,1,2,2,5,420,6,6,2
SE,60,2,1,66,Male,17,Universitetsuddannelse,0,1,2,2,5,180,5,5,3
SE,90,1,1,71,Male,17,Universitetsuddannelse,0,1,2,1,5,30,4,5,3
SE,90,2,1,22,Female,12,Gymnasial uddannelse,0,1,2,2,5,720,5,4,2
SE,30,2,1,39,Male,12,Gymnasial uddannelse,1,1,1,1,5,420,4,4,3
SE,60,2,1,32,Male,18,Universitetsuddannelse,0,2,2,2,5,240,7,7,3
SE,30,3,1,62,Male,12,Gymnasial uddannelse,1,1,2,2,5,120,5,5,1
SE,30,2,1,51,Male,15,Gymnasial uddannelse,1,1,2,1,5,360,6,7,3
SE,30,2,1,68,Male,14,Videregående uddannelse,0,2,2,2,5,120,0,2,2
SE,60,1,1,48,Male,12,Gymnasial uddannelse,1,2,1,1,5,180,6,6,4
SE,240,2,1,82,Female,12,Gymnasial uddannelse,0,2,2,2,3,NA,5,3,1
SE,60,3,2,74,Male,12,Gymnasial uddannelse,1,2,2,2,5,120,4,3,1
SE,30,2,1,42,Female,15,Universitetsuddannelse,1,1,2,2,5,480,5,5,2
SE,120,2,1,60,Female,15,Videregående uddannelse,1,1,2,2,5,240,7,7,2
SE,30,2,1,54,Male,10,Videregående uddannelse,1,1,2,2,5,600,0,1,NA
SE,60,1,1,82,Female,13,Videregående uddannelse,0,2,2,2,5,120,6,7,3
SE,10,3,1,32,Male,12,Grundskole,1,1,2,2,5,120,3,5,NA
SE,60,2,1,78,Male,11,Gymnasial uddannelse,0,1,2,2,3,NA,6,7,2
SE,60,2,1,31,Male,14,Universitetsuddannelse,1,1,2,2,5,480,4,3,3
SE,20,3,1,39,Male,12,Gymnasial uddannelse,1,2,1,2,5,720,2,3,3
SE,30,3,1,68,Female,10,Grundskole,1,1,2,2,4,30,6,6,3
SE,60,4,1,71,Female,13,Gymnasial uddannelse,0,3,2,2,4,720,NA,1,1
SE,90,2,1,76,Female,12,Gymnasial uddannelse,0,2,2,2,4,240,8,3,2
SE,20,2,1,32,Male,16,Universitetsuddannelse,1,1,2,2,5,480,3,2,2
SE,120,2,1,73,Female,15,Universitetsuddannelse,0,1,1,2,5,180,4,4,3
SE,120,3,1,67,Female,16,Universitetsuddannelse,1,1,2,1,5,480,0,0,3
SE,60,1,1,40,Male,13,Gymnasial uddannelse,1,1,2,2,5,300,3,5,1
SE,15,4,1,71,Male,14,Videregående uddannelse,0,2,2,2,5,30,1,1,2
SE,45,2,1,51,Female,17,Universitetsuddannelse,1,1,2,2,5,150,3,3,3
SE,45,2,1,48,Male,15,Gymnasial uddannelse,1,1,1,1,4,0,5,8,3
SE,30,3,1,55,Male,15,Universitetsuddannelse,1,1,2,2,5,90,7,8,2
SE,NA,2,2,80,Female,9,Gymnasial uddannelse,0,1,1,1,5,720,4,5,3
SE,90,2,1,62,Male,13,Videregående uddannelse,1,1,2,2,5,360,8,10,5
SE,96,1,1,67,Female,22,Universitetsuddannelse,0,1,2,2,5,90,8,8,3
SE,120,3,1,62,Female,15,Videregående uddannelse,1,1,2,2,5,480,5,7,2
SE,210,1,1,73,Male,15,Universitetsuddannelse,0,1,2,2,5,180,6,3,2
SE,90,1,1,73,Male,15,Videregående uddannelse,0,1,2,2,5,120,5,5,3
SE,64,1,1,73,Male,12,Videregående uddannelse,0,1,2,2,5,70,6,6,2
SE,60,2,1,75,Male,17,Videregående uddannelse,0,1,2,2,5,90,2,3,1
SE,90,2,1,76,Male,12,Gymnasial uddannelse,0,2,2,2,4,60,3,4,3
SE,60,3,1,75,Female,13,NA,0,2,2,2,5,120,6,6,2
SE,60,2,1,42,Female,12,Gymnasial uddannelse,1,3,2,1,5,240,5,5,3
SE,30,1,1,46,Female,16,Videregående uddannelse,1,2,1,1,5,300,5,5,1
SE,0,2,1,40,Female,6,Universitetsuddannelse,0,1,1,2,5,540,0,0,3
SE,60,1,1,53,Male,22,Universitetsuddannelse,1,1,2,2,5,180,5,5,4
SE,10,4,1,26,Female,14,Videregående uddannelse,0,3,2,2,5,360,2,3,3
SE,90,1,1,40,Female,17,Universitetsuddannelse,1,1,1,2,5,420,7,7,5
SE,30,2,1,42,Male,18,Universitetsuddannelse,1,2,2,2,5,720,7,7,2
SE,30,3,1,30,Female,11,Universitetsuddannelse,0,2,1,2,5,240,3,4,3
SE,20,2,1,48,Male,16,Universitetsuddannelse,1,1,2,2,5,480,2,2,3
SE,40,3,1,74,Male,16,Gymnasial uddannelse,0,1,2,2,5,480,6,7,3
SE,30,1,1,33,Male,12,Gymnasial uddannelse,1,1,2,2,5,420,7,7,2
SE,180,3,1,75,Female,14,Videregående uddannelse,0,2,2,2,5,90,5,5,1
SE,90,1,1,66,Male,13,Gymnasial uddannelse,1,1,1,1,5,150,8,8,5
SE,4,2,2,28,Male,9,Gymnasial uddannelse,1,2,2,2,5,360,8,5,1
SE,90,1,1,43,Female,20,Universitetsuddannelse,1,2,2,2,5,240,6,6,3
SE,120,2,1,56,Female,11,Gymnasial uddannelse,1,2,2,2,5,90,3,3,2
SE,0,2,1,77,Male,13,Videregående uddannelse,0,1,2,2,5,60,2,2,1
SE,60,2,1,34,Female,20,Universitetsuddannelse,1,2,2,2,5,300,7,7,3
SE,150,2,1,84,Male,10,Grundskole,0,1,2,2,2,NA,6,5,2
SE,120,2,1,49,Female,16,Universitetsuddannelse,1,1,2,2,5,360,4,7,3
SE,60,2,1,63,Male,15,Universitetsuddannelse,1,1,2,2,5,60,7,7,3
SE,30,2,1,62,Male,16,Videregående uddannelse,0,1,2,2,5,120,9,7,3
SE,NA,2,1,82,Female,13,Gymnasial uddannelse,0,1,1,1,5,120,6,5,3
SE,30,1,1,37,Female,21,Universitetsuddannelse,1,1,1,2,5,660,5,7,4
SE,60,1,1,73,Female,9,Grundskole,0,1,2,2,5,30,5,5,2
SE,30,2,1,34,Male,12,Gymnasial uddannelse,1,1,1,2,5,240,3,4,3
SE,10,1,1,57,Female,17,Universitetsuddannelse,1,1,1,2,5,300,6,6,5
SE,60,2,1,30,Female,13,Gymnasial uddannelse,1,1,2,2,5,300,5,5,3
SE,10,2,1,50,Male,12,Gymnasial uddannelse,1,2,2,2,5,120,5,5,2
SE,30,2,1,49,Male,15,Videregående uddannelse,1,1,2,2,5,90,4,4,3
SE,NA,3,1,80,Male,8,Grundskole,1,1,2,2,1,NA,4,6,2
SE,150,1,1,64,Female,12,Gymnasial uddannelse,1,1,2,2,5,600,2,2,3
SE,10,3,1,34,Male,12,Gymnasial uddannelse,0,2,2,2,5,240,4,5,3
SE,30,3,1,47,Female,20,Universitetsuddannelse,1,2,2,2,5,300,4,4,1
SE,105,1,1,72,Male,16,Videregående uddannelse,1,1,2,1,5,105,6,6,3
SE,120,3,1,38,Female,19,Universitetsuddannelse,1,1,2,2,5,360,7,7,4
SE,120,3,1,68,Male,16,Videregående uddannelse,0,1,2,NA,3,NA,5,5,1
SE,15,3,1,38,Female,4,Grundskole,1,2,2,2,5,120,8,7,3
SE,30,2,1,31,Female,15,Universitetsuddannelse,1,1,1,2,5,480,7,8,4
SE,60,2,1,77,Female,17,Universitetsuddannelse,0,2,2,2,5,120,7,3,3
SE,180,2,1,76,Female,18,Universitetsuddannelse,0,4,2,1,5,120,6,6,3
SE,120,2,1,61,Male,17,Universitetsuddannelse,0,1,2,1,5,60,5,5,2
SE,90,1,1,35,Male,13,Videregående uddannelse,1,2,2,2,5,300,5,6,4
SE,30,3,1,80,Male,15,Gymnasial uddannelse,0,1,2,2,5,120,7,6,2
SE,20,3,1,47,Female,18,Universitetsuddannelse,1,1,2,2,5,120,4,5,1
SE,120,2,1,76,Male,9,Grundskole,0,2,2,2,3,NA,3,3,1
SE,40,3,1,65,Female,13,Videregående uddannelse,1,2,NA,2,5,60,3,3,1
SE,60,2,1,66,Male,13,Videregående uddannelse,1,1,2,1,5,240,7,6,3
SE,10,2,1,37,Female,19,Universitetsuddannelse,1,1,1,1,5,420,7,7,3
SE,60,2,1,61,Female,15,Videregående uddannelse,0,2,2,2,5,15,5,5,2
SE,20,3,1,60,Male,15,Videregående uddannelse,1,1,2,2,5,180,5,5,3
SE,30,2,1,88,Male,20,Universitetsuddannelse,0,1,2,2,1,NA,4,5,3
SE,30,3,1,65,Male,12,Gymnasial uddannelse,1,1,2,1,5,180,5,4,3
SE,90,1,1,62,Male,20,Videregående uddannelse,1,1,2,2,5,360,NA,7,3
SE,60,2,1,66,Male,14,Videregående uddannelse,0,2,2,2,5,15,7,7,3
SE,120,2,1,90,Female,NA,Grundskole,0,2,2,2,1,NA,3,4,1
SE,120,2,1,56,Female,11,Gymnasial uddannelse,1,1,2,2,5,600,4,4,3
SE,105,2,1,71,Female,13,Videregående uddannelse,1,2,2,2,5,60,3,3,2
SE,0,2,1,59,Male,12,Videregående uddannelse,1,2,2,2,5,45,3,3,2
SE,60,2,1,45,Male,13,Videregående uddannelse,1,1,2,2,5,600,8,8,1
SE,180,2,1,61,Female,13,Gymnasial uddannelse,1,2,1,2,5,480,6,6,2
SE,30,2,1,31,Female,15,Universitetsuddannelse,0,1,1,2,5,210,7,7,4
SE,0,2,1,61,Female,14,NA,0,2,2,2,1,NA,2,3,2
SE,60,4,1,51,Male,14,Gymnasial uddannelse,1,1,2,2,5,240,4,5,1
SE,0,3,1,31,Female,17,Videregående uddannelse,1,2,2,2,5,60,0,0,2
SE,30,3,1,60,Male,9,Grundskole,1,1,2,2,5,20,5,6,2
SE,60,1,1,22,Female,15,Gymnasial uddannelse,0,2,1,2,5,480,2,2,5
SE,240,3,1,54,Female,15,Universitetsuddannelse,1,1,2,2,5,240,7,7,3
SE,120,2,1,79,Male,8,Grundskole,0,2,2,2,5,240,6,6,3
SE,20,2,1,53,Male,19,Universitetsuddannelse,1,1,2,2,5,480,8,8,3
SE,90,1,1,79,Male,14,Universitetsuddannelse,0,1,1,2,5,120,4,4,3
SE,60,2,1,43,Male,12,Videregående uddannelse,1,1,2,2,5,240,6,4,3
SE,120,1,1,85,Female,18,Universitetsuddannelse,0,1,2,2,5,120,7,7,3
SE,60,2,1,34,Female,17,Videregående uddannelse,1,1,1,2,5,480,4,5,2
SE,240,2,1,74,Male,11,Grundskole,0,2,1,2,4,60,2,2,3
SE,90,1,1,64,Female,12,Gymnasial uddannelse,1,1,2,2,5,60,7,7,1
SE,0,4,2,30,Female,20,Universitetsuddannelse,0,2,1,2,5,600,2,0,2
SE,120,1,1,46,Male,16,Videregående uddannelse,1,1,2,1,5,600,6,6,3
SE,45,2,1,78,Female,12,Gymnasial uddannelse,0,1,2,2,2,NA,5,5,2
SE,240,1,1,72,Male,18,Videregående uddannelse,1,2,1,2,5,240,3,5,5
SE,15,1,1,43,Male,20,Universitetsuddannelse,1,1,1,2,5,NA,3,4,3
SE,60,4,2,39,Female,12,Videregående uddannelse,0,3,2,1,5,120,0,0,1
SE,60,2,1,53,Female,17,Universitetsuddannelse,1,1,2,1,5,60,6,4,3
SE,60,4,2,52,Female,13,Gymnasial uddannelse,0,1,2,2,5,180,6,5,1
SE,60,2,1,65,Male,20,Universitetsuddannelse,1,1,1,2,4,120,5,4,3
SE,60,3,1,49,Male,14,Videregående uddannelse,1,2,2,1,5,180,2,0,1
SE,180,1,1,82,Male,10,Videregående uddannelse,0,1,2,2,2,NA,5,6,2
SE,75,2,1,55,Male,15,Universitetsuddannelse,1,1,2,2,5,20,7,6,3
SE,60,2,1,50,Female,22,Universitetsuddannelse,1,2,2,2,5,240,4,4,2
SE,NA,1,1,64,Male,18,Universitetsuddannelse,1,1,1,2,5,600,5,5,5
SE,30,3,1,61,Male,15,Universitetsuddannelse,1,1,2,2,5,180,5,5,2
SE,45,2,1,52,Female,17,Universitetsuddannelse,1,2,2,2,5,90,4,6,3
SE,60,3,1,63,Female,14,Videregående uddannelse,0,1,2,1,5,60,7,7,3
SE,120,1,1,61,Female,16,Universitetsuddannelse,1,1,2,1,5,60,6,7,3
SE,10,3,1,26,Male,13,Gymnasial uddannelse,1,2,2,2,5,90,2,3,2
SE,30,1,1,66,Male,11,Gymnasial uddannelse,1,2,2,2,5,120,1,1,2
